okved_provider,okved_consumer,normalized_consumption
01.1,01.1,0.1117271539244388
01.4,01.1,0.1117271539244388
01.4,01.4,0.1117271539244388
01.6,01.1,0.002341237866887525
01.6,01.4,0.002341237866887525
01.6,01.6,0.021118829981718455
01.7,01.1,9.704762129656775e-05
01.7,01.4,9.704762129656775e-05
01.7,01.6,1.4625228519195606e-05
01.7,01.7,0.7504445761707172
02,01.1,0.00034038661238143346
02,01.4,0.00034038661238143346
02,01.6,0.00011700182815356485
02,01.7,0.0011855364552459987
02,02,0.18107913307296478
03,01.1,0.00012901286154558562
03,01.4,0.00012901286154558562
03,01.6,0.00033638025594149895
03,01.7,0.0
03,02,8.939696162076695e-05
03,03,0.06412888138235676
05,01.1,2.8797513737853935e-07
05,01.4,2.8797513737853935e-07
05,01.6,0.0
05,01.7,0.0
05,02,5.5873101012979345e-06
05,03,0.0
05,05,0.3112134914427953
06.10,01.1,8.35127898397764e-06
06.10,01.4,8.35127898397764e-06
06.10,01.6,0.0
06.10,01.7,0.0
06.10,02,0.0
06.10,03,0.0
06.10,05,6.153406406688558e-05
06.10,06.10,0.00031801812474931807
09.1,01.1,1.1519005495141574e-06
09.1,01.4,1.1519005495141574e-06
09.1,01.6,1.4625228519195606e-05
09.1,01.7,0.0
09.1,02,5.0285790911681414e-05
09.1,03,0.0
09.1,05,9.924849043046061e-06
09.1,06.10,0.00148731995506638
09.1,09.1,0.21344480901063434
07.21,01.1,0.0
07.21,01.4,0.0
07.21,01.6,0.0
07.21,01.7,0.0
07.21,02,0.0
07.21,03,0.0
07.21,05,9.924849043046061e-06
07.21,06.10,0.0
07.21,09.1,0.0
07.21,07.21,0.0
07.1,01.1,0.0
07.1,01.4,0.0
07.1,01.6,0.0
07.1,01.7,0.0
07.1,02,5.5873101012979345e-06
07.1,03,0.0
07.1,05,0.00010123346023906982
07.1,06.10,0.0
07.1,09.1,0.0
07.1,07.21,0.0
07.1,07.1,0.009611316763617133
07.2,01.1,8.63925412135618e-07
07.2,01.4,8.63925412135618e-07
07.2,01.6,1.4625228519195606e-05
07.2,01.7,0.0
07.2,02,0.00030171474547008846
07.2,03,0.0
07.2,05,0.001020274481625135
07.2,06.10,0.0
07.2,09.1,7.588541681488035e-06
07.2,07.21,0.0
07.2,07.1,0.002441389035783536
07.2,07.2,0.050768040149152226
08,01.1,7.199378434463483e-06
08,01.4,7.199378434463483e-06
08,01.6,2.9250457038391212e-05
08,01.7,0.0
08,02,2.7936550506489676e-05
08,03,0.0
08,05,0.0007741382253575928
08,06.10,1.427370398336257e-05
08,09.1,0.0005463750010671386
08,07.21,0.0
08,07.1,0.002022739291380222
08,07.2,0.0009521352688726812
08,08,0.06793249263572035
10.1,01.1,0.35231051091972926
10.1,01.4,0.35231051091972926
10.1,01.6,0.006946983546617913
10.1,01.7,0.0
10.1,02,5.5873101012979345e-06
10.1,03,0.009995236239227405
10.1,05,0.0002123917695211857
10.1,06.10,0.0
10.1,09.1,0.0
10.1,07.21,0.0
10.1,07.1,0.0
10.1,07.2,0.0
10.1,08,0.003255124809132462
10.1,10.1,0.4345738694374136
10.2,01.1,0.0004224595265343172
10.2,01.4,0.0004224595265343172
10.2,01.6,0.00036563071297989017
10.2,01.7,0.0002963841138114997
10.2,02,0.00010615889192466077
10.2,03,0.7762158416699146
10.2,05,0.00020246692047813964
10.2,06.10,0.0
10.2,09.1,0.0
10.2,07.21,0.0
10.2,07.1,0.0
10.2,07.2,0.0
10.2,08,0.0011697318672693933
10.2,10.1,0.002089457263475812
10.2,10.2,0.35170515197483004
10.3,01.1,0.006026167724783314
10.3,01.4,0.006026167724783314
10.3,01.6,0.0008336380255941496
10.3,01.7,0.0
10.3,02,5.5873101012979345e-06
10.3,03,8.661383222900697e-05
10.3,05,2.580460751191976e-05
10.3,06.10,0.0
10.3,09.1,0.0
10.3,07.21,0.0
10.3,07.1,0.0
10.3,07.2,0.0
10.3,08,0.00022639971624568902
10.3,10.1,0.001868639620858482
10.3,10.2,0.0005992846040039703
10.3,10.3,0.18695831613702027
10.4,01.1,0.0745544592662048
10.4,01.4,0.0745544592662048
10.4,01.6,0.0006873857404021935
10.4,01.7,0.0
10.4,02,5.5873101012979345e-06
10.4,03,0.0003031484128015244
10.4,05,0.0002123917695211857
10.4,06.10,0.0
10.4,09.1,0.0
10.4,07.21,0.0
10.4,07.1,0.0
10.4,07.2,0.0
10.4,08,0.0010011898562864914
10.4,10.1,0.005349485471148869
10.4,10.2,0.0034084311852725807
10.4,10.3,0.009483392847530013
10.4,10.4,0.20675683387547794
10.5,01.1,0.10265248139536626
10.5,01.4,0.10265248139536626
10.5,01.6,0.00011700182815356485
10.5,01.7,0.0
10.5,02,5.5873101012979345e-06
10.5,03,0.0013684985492183103
10.5,05,0.000514107180429786
10.5,06.10,0.0
10.5,09.1,0.0
10.5,07.21,0.0
10.5,07.1,0.0
10.5,07.2,0.0
10.5,08,0.0009433321510237041
10.5,10.1,0.0036233088455273742
10.5,10.2,0.0014233009345094294
10.5,10.3,0.06740655672988931
10.5,10.4,0.10633058090685209
10.5,10.5,0.5332768767268697
10.6,01.1,0.03480755485494405
10.6,01.4,0.03480755485494405
10.6,01.6,0.0012723948811700176
10.6,01.7,0.0
10.6,02,1.1174620202595869e-05
10.6,03,0.0002511801134641202
10.6,05,0.00012703806775098958
10.6,06.10,0.0
10.6,09.1,0.0
10.6,07.21,0.0
10.6,07.1,0.0
10.6,07.2,0.0
10.6,08,0.0004804705089214067
10.6,10.1,0.0011681965609432949
10.6,10.2,0.0011049309886323202
10.6,10.3,0.004127115146512589
10.6,10.4,0.01212033415423246
10.6,10.5,0.0014283261266605266
10.6,10.6,0.024617848108079012
10.9,01.1,0.055311960586570806
10.9,01.4,0.055311960586570806
10.9,01.6,0.0022815356489945147
10.9,01.7,0.0
10.9,02,7.822234141817109e-05
10.9,03,0.0014204668485557144
10.9,05,0.00010321843004767904
10.9,06.10,0.0
10.9,09.1,0.0
10.9,07.21,0.0
10.9,07.1,0.0
10.9,07.2,0.0
10.9,08,0.0011345141336311748
10.9,10.1,0.016492466081935216
10.9,10.2,0.023802835365282694
10.9,10.3,0.04025731665739562
10.9,10.4,0.11197151875117976
10.9,10.5,0.004097656920747412
10.9,10.6,0.06332418321761128
10.9,10.9,0.023738672766510205
10.8,01.1,0.07417721183623892
10.8,01.4,0.07417721183623892
10.8,01.6,0.0023839122486288837
10.8,01.7,0.0
10.8,02,0.00021231778384932153
10.8,03,0.009510198778744965
10.8,05,0.0020524587821019254
10.8,06.10,3.7111630356742683e-06
10.8,09.1,9.485677101860044e-07
10.8,07.21,0.0
10.8,07.1,0.0
10.8,07.2,4.690321521540301e-06
10.8,08,0.0037129553464292997
10.8,10.1,0.03390144409989505
10.8,10.2,0.006367398917542184
10.8,10.3,0.2002637764897989
10.8,10.4,0.3193648786869126
10.8,10.5,0.09787546244985249
10.8,10.6,0.5643132030787448
10.8,10.9,0.0032215661210273825
10.8,10.8,0.5105137407403703
11.0,01.1,0.012763346063754242
11.0,01.4,0.012763346063754242
11.0,01.6,0.0012138939670932353
11.0,01.7,0.0
11.0,02,0.0017711773021114453
11.0,03,0.0002771642631328223
11.0,05,0.00011711321870794352
11.0,06.10,8.564222390017543e-07
11.0,09.1,0.0
11.0,07.21,0.0
11.0,07.1,0.0
11.0,07.2,0.0
11.0,08,0.0004678927469077573
11.0,10.1,0.00018757627706203313
11.0,10.2,0.00018727643875124072
11.0,10.3,0.028279710743060172
11.0,10.4,0.0017252051150356234
11.0,10.5,0.0020410233995722827
11.0,10.6,0.012648689380483342
11.0,10.9,0.0015629123992775414
11.0,10.8,0.07930341594105823
11.0,11.0,0.718792014761379
12,01.1,0.016299392775625327
12,01.4,0.016299392775625327
12,01.6,0.0
12,01.7,0.0
12,02,0.0
12,03,0.0
12,05,0.0
12,06.10,0.0
12,09.1,0.0
12,07.21,0.0
12,07.1,0.0
12,07.2,0.0
12,08,0.0
12,10.1,0.0
12,10.2,0.0
12,10.3,0.0
12,10.4,0.0
12,10.5,1.5610121602847286e-05
12,10.6,0.0
12,10.9,0.0
12,10.8,9.996900960702178e-06
12,11.0,0.0
12,12,0.9756074229959822
13,01.1,0.003318913458287666
13,01.4,0.003318913458287666
13,01.6,1.4625228519195606e-05
13,01.7,0.0
13,02,0.00040787363739474923
13,03,0.0
13,05,2.1834667894701335e-05
13,06.10,0.0
13,09.1,9.485677101860044e-07
13,07.21,0.0
13,07.1,0.0
13,07.2,9.380643043080603e-06
13,08,0.00012829317253922377
13,10.1,0.0011278320456261485
13,10.2,0.0
13,10.3,8.971989448940411e-06
13,10.4,4.3898348983094746e-06
13,10.5,3.9025304007118216e-06
13,10.6,0.0002489369718499381
13,10.9,1.035041324024862e-05
13,10.8,9.996900960702178e-06
13,11.0,9.27222320095689e-06
13,12,0.0
13,13,0.2505587800569594
14,01.1,7.660138654269146e-05
14,01.4,7.660138654269146e-05
14,01.6,4.387568555758682e-05
14,01.7,0.002074688796680498
14,02,0.0
14,03,0.0
14,05,1.3894788660264485e-05
14,06.10,0.0
14,09.1,0.0
14,07.21,0.0
14,07.1,0.0
14,07.2,0.00011725803803850755
14,08,2.5155524027298777e-06
14,10.1,7.598026412639318e-05
14,10.2,1.872764387512407e-05
14,10.3,8.971989448940411e-06
14,10.4,1.3169504694928425e-05
14,10.5,3.9025304007118216e-06
14,10.6,1.3456052532429087e-05
14,10.9,7.245289268174033e-05
14,10.8,1.1996281152842613e-05
14,11.0,9.27222320095689e-06
14,12,0.0
14,13,0.2809672302534337
14,14,0.04590189292136352
15,01.1,0.0005834376283289207
15,01.4,0.0005834376283289207
15,01.6,0.0
15,01.7,0.002963841138114997
15,02,0.0
15,03,0.0
15,05,3.969939617218424e-06
15,06.10,0.0
15,09.1,0.0
15,07.21,0.0
15,07.1,0.0
15,07.2,0.0
15,08,2.5155524027298777e-06
15,10.1,0.014920624367820459
15,10.2,0.0
15,10.3,0.0
15,10.4,0.0
15,10.5,0.0
15,10.6,0.0
15,10.9,0.0
15,10.8,1.9993801921404355e-06
15,11.0,0.0
15,12,0.0
15,13,0.018615487220159335
15,14,0.009619288849359036
15,15,0.5169034484883972
16,01.1,1.0367104945627415e-05
16,01.4,1.0367104945627415e-05
16,01.6,2.9250457038391212e-05
16,01.7,0.0
16,02,0.51330059169614
16,03,8.661383222900698e-06
16,05,7.145891310993164e-05
16,06.10,5.709481593345028e-07
16,09.1,0.0
16,07.21,0.0
16,07.1,4.406839414771725e-06
16,07.2,9.380643043080603e-05
16,08,0.0002163375066347695
16,10.1,1.6620682777648507e-05
16,10.2,1.872764387512407e-05
16,10.3,8.971989448940411e-06
16,10.4,4.3898348983094746e-06
16,10.5,3.9025304007118216e-06
16,10.6,0.00010092039399321815
16,10.9,2.8463636410683702e-05
16,10.8,1.5995041537123484e-05
16,11.0,1.854444640191378e-05
16,12,0.0
16,13,0.0005407548938317889
16,14,0.0008604188016009591
16,15,0.0008937101297420569
16,16,0.13047146655757827
17,01.1,0.00010251914890676
17,01.4,0.00010251914890676
17,01.6,0.0005411334552102374
17,01.7,0.0
17,02,0.1709884510300207
17,03,2.598414966870209e-05
17,05,0.00450985140516013
17,06.10,0.0
17,09.1,0.0
17,07.21,0.0
17,07.1,0.0
17,07.2,1.4070964564620905e-05
17,08,0.0018992420640610577
17,10.1,6.173396460269445e-05
17,10.2,1.872764387512407e-05
17,10.3,0.00028710366236609316
17,10.4,0.0007901702816957055
17,10.5,0.00013268603362420194
17,10.6,0.007663221917218365
